Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Hey guys, I know it is a long one, but I wanted to elaborate a bit on each topic instead of just skimming through slides. Use the timestamps if needed. Also, you don't need to even watch. You could listen to it while driving, etc. I will also be writing an ebook based on this guide but will be more in-depth. Thanks!",UgwScEhhjxpfxhw5Bdt4AaABAg,21,567
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Another year, another great yearly guide from Brad. Thanks!",UgxGEhGZm1Rf-ssKAhp4AaABAg,2,508
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"For programmers, a new year  is incomplete without watching Brad's classic guide on web development!",UgwumVdLibsBdcZuHY54AaABAg,1,380
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"You have no idea how many times I went through the last year's roadmap, you are a bliss in the dev community, thanks Brad👏🏻👏🏻",Ugx3SP34sKvs0gfuXmJ4AaABAg,5,184
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Although I'm familiar with alot of the terms here, it was always so discouraging seeing so many different types of technologies listed on job descriptions. It was super intimidating and made me want to give up many times. A video like this that breaks down literally everything is so beneficial for someone like me trying to find a job in the field.

Can't thank you enough for your hard work in making this community more inclusive and easier to navigate for newbies like myself. Thank you Brad! Hope you have an awesome 2022!",UgxFQT5Yg7zieJovgu14AaABAg,0,72
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Whoa... I really enjoyed this session, so elaborate and unbiased. More than enough to help web developers set their path right. Thanks a lot Brad for what you do. Anticipating the ebook.",Ugwp9DbCTO-drgiR-zx4AaABAg,0,44
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"What a great service Brad provides to the dev community, not just with this video but his entire body of work. Thank you Brad!",UgwiyZBNFZopK2i2K8J4AaABAg,0,9
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"With so many technologies, frameworks,  solutions and directions to take you have explained and categorised everything that has evolved over the last decade in one video! Amazing Brad - Cheers",UgxYzzrFng5dLH1ZDdJ4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,I’m already working in JavaScript and hoping to get into react by the end of the month. I’m really hoping to get a web developer position this year and your videos have been so helpful in my process!,UgwVeO5ar0iHzRTILlp4AaABAg,1,16
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Thank you Brad for making these videos. This same video in 2019 inspired me to learn react and now 2.5 years later I am working as a frontend developer. So thank you!,UgyhPdlom6EA6m8Q56B4AaABAg,0,36
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Brad you are helping hundreds if not thousands (even millions) of people on their way to a new career in life. you are teaching us and we are grateful for every moment that you give. You could literally do anything and you choose to pass on your knowledge and experience with us. You don't ever have to apologize to us. we thank you a million times over ❤,Ugy1L4QdzKQYb9YsD1R4AaABAg,0,3
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"I really enjoyed the last two practical guides, in fact they cleared so much clutter, that's been building up due to watching ""trends videos"", in my head that I went for applying to jobs as a web dev and landed one.
Thank you so much, Brad!
Wish you a speedy recovery.",UgzzP3gcS2YxUNpdBlZ4AaABAg,0,13
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Thank you Brad for putting so much efforts and your time into this brilliant and helpful guide! This is awesome!,Ugz-XoeLaSrqa95EICV4AaABAg,0,1
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Traversy Media still churning out quality, well laid out content.  Thank you, Brad, for your dedication in providing quality learning material.",UgwTS-WSVENBFTXo-IJ4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Thanks so much for this Brad.
I have watched it once and would go through it again, but this time while taking notes.

This will help a lot in arranging everything I need to learn for work and business, and I'm pretty sure by year's end, I'd be in a much better place
Thank you",UgzXeCLe9HO9tsFwiZ94AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,Good Job Brad ! It means a lot you take the time to make these videos so starters like us and benefit from them,Ugxh6pDggisBuNuSg8R4AaABAg,0,0
Traversy Media,Web Development In 2022 - A Practical Guide,This is my annual guide to take you from start to finish when it comes to the web development technologies that are available for ...,EqzUcMzfV1w,"Enjoyed every minute of this video, in all it's length :). Out of curiosity - why do you consider Zurb's Foundation more advanced than Bootstrap? I have used both (Foundation more though) and I think they are quite similar actually. Thank you for all the work you put in your videos!",Ugw_RrFnQFV3YKrCLJN4AaABAg,0,0
